"cad_number","dup_cad_number","pd_incident_report","received_datetime","entry_datetime","dispatch_datetime","enroute_datetime","onscene_datetime","close_datetime","call_type_original","call_type_original_desc","call_type_original_notes","call_type_final","call_type_final_desc","call_type_final_notes","priority_original","priority_final","agency","disposition","onview_flag","sensitive_call","intersection_name","intersection_id","intersection_point","supervisor_district","analysis_neighborhood","police_district","data_as_of","data_updated_at","data_loaded_at","source_filename"
"250321565",,,"2025/02/01 01:11:09 PM","2025/02/01 01:11:40 PM","2025/02/01 02:28:28 PM","2025/02/01 02:28:28 PM",,"2025/02/01 02:33:34 PM","587","TRAF VIOLATION CITE","7.2.28","587","TRAF VIOLATION CITE","7.2.28","C","C","Municipal Transportation Agency","CIT","N","false","15TH ST \ NOE ST","25810000","POINT (-122.433255473 37.765861628)","8","Castro/Upper Market","PARK","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321802",,,"2025/02/01 02:28:38 PM","2025/02/01 02:28:38 PM","2025/02/01 02:28:38 PM","2025/02/01 02:28:38 PM",,"2025/02/01 02:35:49 PM","919","SIT/LIE ENFORCEMENT",,"919","SIT/LIE ENFORCEMENT",,"C","C","Police","GOA","HSOC","false","HARRIET ST \ HOWARD ST","24281000","POINT (-122.407691083 37.779318461)","6","South of Market","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321782",,,"2025/02/01 02:23:07 PM","2025/02/01 02:23:07 PM","2025/02/01 02:28:53 PM","2025/02/01 02:28:53 PM","2025/02/01 02:44:42 PM","2025/02/01 03:17:35 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW",,"C","C","Municipal Transportation Agency","HAN","N","false","24TH ST \ SOUTH VAN NESS AVE","24063000","POINT (-122.41626551 37.752372789)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321530",,,"2025/02/01 12:54:43 PM","2025/02/01 12:57:32 PM","2025/02/01 02:30:36 PM","2025/02/01 02:30:36 PM",,"2025/02/01 02:47:53 PM","594","VANDALISM",,"594","VANDALISM",,"B","B","Police","UTL","N","false","17TH ST \ CASTRO ST \ MARKET ST","25814000","POINT (-122.435187962 37.762670707)","8","Castro/Upper Market","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321811",,,"2025/02/01 02:31:47 PM","2025/02/01 02:31:47 PM","2025/02/01 02:31:47 PM","2025/02/01 02:31:47 PM","2025/02/01 02:31:47 PM","2025/02/01 02:31:47 PM","601","TRESPASSER",,"601","TRESPASSER",,"C","C","Police","GOA","HSOC","false","HOWARD ST \ RUSS ST","24287000","POINT (-122.408271589 37.778860687)","6","South of Market","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321688",,,"2025/02/01 01:47:24 PM","2025/02/01 01:47:24 PM","2025/02/01 02:33:40 PM","2025/02/01 02:33:40 PM",,"2025/02/01 02:37:51 PM","587","TRAF VIOLATION CITE",,"587","TRAF VIOLATION CITE","22500E","C","C","Municipal Transportation Agency","GOA","N","false","16TH ST \ MARKET ST \ NOE ST","25804000","POINT (-122.433074471 37.764195713)","8","Castro/Upper Market","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321655",,,"2025/02/01 01:37:00 PM","2025/02/01 01:37:59 PM","2025/02/01 02:35:18 PM","2025/02/01 02:35:18 PM","2025/02/01 02:37:37 PM","2025/02/01 02:41:16 PM","917","SUSPICIOUS PERSON",,"917","SUSPICIOUS PERSON",,"C","C","Police","ADV","N","false","16TH ST \ HOFF ST","24175000","POINT (-122.420580608 37.76499627)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321821",,,"2025/02/01 02:36:29 PM","2025/02/01 02:36:29 PM","2025/02/01 02:36:29 PM","2025/02/01 02:36:29 PM","2025/02/01 02:39:49 PM","2025/02/01 02:51:25 PM","919","SIT/LIE ENFORCEMENT",,"919","SIT/LIE ENFORCEMENT",,"C","C","Police","GOA","HSOC","false","07TH ST \ HOWARD ST","24265000","POINT (-122.409387006 37.777977087)","6","South of Market","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321822",,,"2025/02/01 02:36:33 PM","2025/02/01 02:36:33 PM","2025/02/01 02:36:33 PM","2025/02/01 02:36:33 PM","2025/02/01 02:36:33 PM","2025/02/01 02:39:42 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police",,"Y","false","16TH ST \ WIESE ST","24180000","POINT (-122.420482492 37.765002197)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321819",,,"2025/02/01 02:34:55 PM","2025/02/01 02:36:16 PM","2025/02/01 02:36:44 PM","2025/02/01 02:36:44 PM","2025/02/01 02:43:28 PM","2025/02/01 02:45:34 PM","800","MENTALLY DISTURBED",,"800","MENTALLY DISTURBED",,"A","A","Police","HAN","N","false","04TH ST \ KING ST","23798000","POINT (-122.394035066 37.776332977)","6","Mission Bay","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321824",,"PD250062602","2025/02/01 02:37:28 PM","2025/02/01 02:37:28 PM","2025/02/01 02:37:28 PM","2025/02/01 02:37:28 PM","2025/02/01 02:37:28 PM","2025/02/01 03:20:46 PM","916","SUSPICIOUS VEHICLE",,"916","SUSPICIOUS VEHICLE",,"C","C","Police","HAN","Y","false","CARROLL AVE \ INGALLS ST","20450000","POINT (-122.389619541 37.722851442)","10","Bayview Hunters Point","BAYVIEW","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321411",,,"2025/02/01 12:21:35 PM","2025/02/01 12:21:35 PM","2025/02/01 02:37:57 PM","2025/02/01 02:37:57 PM",,"2025/02/01 02:55:42 PM","587","TRAF VIOLATION CITE",,"587","TRAF VIOLATION CITE","25/500E","C","C","Municipal Transportation Agency","GOA","N","false","23RD ST \ CORBETT AVE","32975000","POINT (-122.443610105 37.752311861)","8","Twin Peaks","PARK","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321829",,,"2025/02/01 02:36:01 PM","2025/02/01 02:38:18 PM","2025/02/01 02:39:06 PM","2025/02/01 02:39:06 PM","2025/02/01 03:02:40 PM","2025/02/01 03:05:40 PM","418","FIGHT NO WEAPON",,"418","FIGHT NO WEAPON",,"A","A","Police","ABA","N","false","06TH ST \ NATOMA ST","24282000","POINT (-122.407691415 37.780162026)","6","South of Market","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321837",,,"2025/02/01 02:41:25 PM","2025/02/01 02:41:25 PM","2025/02/01 02:41:25 PM","2025/02/01 02:41:25 PM","2025/02/01 02:41:25 PM","2025/02/01 02:43:21 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","15TH ST \ WIESE ST","24179000","POINT (-122.420637844 37.766624517)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321835",,,"2025/02/01 02:38:38 PM","2025/02/01 02:40:37 PM","2025/02/01 02:42:54 PM","2025/02/01 02:42:54 PM","2025/02/01 02:49:36 PM","2025/02/01 02:52:19 PM","418","FIGHT NO WEAPON",,"418","FIGHT NO WEAPON",,"B","B","Police","ABA","N","false","FILLMORE ST \ SACRAMENTO ST","26639000","POINT (-122.434027089 37.789836972)","2","Pacific Heights","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321813",,,"2025/02/01 02:31:45 PM","2025/02/01 02:32:28 PM","2025/02/01 02:43:27 PM","2025/02/01 02:43:27 PM","2025/02/01 02:46:51 PM","2025/02/01 02:53:52 PM","100A","AUDIBLE ALARM",,"100A","AUDIBLE ALARM",,"B","B","Police","NCR","N","false","19TH ST \ LEXINGTON ST","24155000","POINT (-122.420659534 37.760147554)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321836",,,"2025/02/01 02:35:27 PM","2025/02/01 02:40:38 PM","2025/02/01 02:46:12 PM","2025/02/01 02:46:12 PM","2025/02/01 02:46:12 PM","2025/02/01 04:40:53 PM","518HR","H&R VEH ACCIDENT",,"418","FIGHT NO WEAPON",,"C","B","Police","HAN","N","false","BRODERICK ST \ MARINA BLVD","27014000","POINT (-122.445650064 37.805368467)","2","Marina","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321850",,,"2025/02/01 02:44:35 PM","2025/02/01 02:47:31 PM","2025/02/01 02:47:55 PM","2025/02/01 02:47:55 PM","2025/02/01 02:57:51 PM","2025/02/01 03:03:02 PM","801","SUICIDE ATTEMPT",,"801","SUICIDE ATTEMPT",,"A","A","Police","UTL","N","true",,,,,,,"2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321851",,,"2025/02/01 02:48:00 PM","2025/02/01 02:48:00 PM","2025/02/01 02:48:00 PM","2025/02/01 02:48:00 PM","2025/02/01 02:48:00 PM","2025/02/01 02:52:02 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","24TH ST \ OSAGE ALY","24089000","POINT (-122.419017543 37.752204442)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321504",,,"2025/02/01 12:48:58 PM","2025/02/01 12:48:58 PM","2025/02/01 02:48:47 PM","2025/02/01 02:48:47 PM","2025/02/01 03:13:14 PM","2025/02/01 03:13:57 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW","22500E","C","C","Municipal Transportation Agency","CIT","N","false","CHESTNUT ST \ MALLORCA WAY","26772000","POINT (-122.43729967 37.800683733)","2","Marina","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321856",,,"2025/02/01 02:49:44 PM","2025/02/01 02:49:44 PM","2025/02/01 02:49:44 PM","2025/02/01 02:49:44 PM","2025/02/01 02:49:44 PM","2025/02/01 02:53:51 PM","915","HOMELESS COMPLAINT",,"915","HOMELESS COMPLAINT",,"C","C","Police","HAN","Y","false","STOCKTON ST \ STOCKTON TUNL \ SUTTER ST","24910000","POINT (-122.406956987 37.789433682)","3","Financial District/South Beach","CENTRAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321865",,,"2025/02/01 02:52:16 PM","2025/02/01 02:52:16 PM","2025/02/01 02:52:16 PM","2025/02/01 02:52:16 PM","2025/02/01 02:52:16 PM","2025/02/01 02:58:26 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","24TH ST \ SHOTWELL ST","24064000","POINT (-122.415172289 37.752439645)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321874",,,"2025/02/01 02:54:33 PM","2025/02/01 02:54:33 PM","2025/02/01 02:56:13 PM","2025/02/01 02:56:13 PM","2025/02/01 03:27:35 PM","2025/02/01 03:38:38 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW",,"C","C","Municipal Transportation Agency","CIT","N","false","ASHBURY ST \ PIEDMONT ST","26216000","POINT (-122.445962649 37.765216186)","8","Haight Ashbury","PARK","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321855",,,"2025/02/01 02:43:11 PM","2025/02/01 02:49:14 PM","2025/02/01 02:57:16 PM","2025/02/01 02:57:16 PM","2025/02/01 03:24:06 PM","2025/02/01 03:27:34 PM","100S","SILENT ALARM",,"100S","SILENT ALARM",,"B","B","Police","PAS","N","false","TUNNEL AVE \ VISITACION AVE","50833000","POINT (-122.401329757 37.709593161)","10","Bayview Hunters Point","BAYVIEW","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321849",,,"2025/02/01 02:45:31 PM","2025/02/01 02:46:47 PM","2025/02/01 02:57:51 PM","2025/02/01 02:57:51 PM","2025/02/01 03:04:15 PM","2025/02/01 04:10:36 PM","418","FIGHT NO WEAPON","601","800","MENTALLY DISTURBED",,"B","A","Police","GOA","N","false","AL SCOMA WAY \ JEFFERSON ST","35066000","POINT (-122.417715897 37.807978727)","3","North Beach","CENTRAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321896",,,"2025/02/01 03:00:11 PM","2025/02/01 03:00:11 PM","2025/02/01 03:00:11 PM","2025/02/01 03:00:11 PM","2025/02/01 03:00:11 PM","2025/02/01 04:54:46 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","EDDY ST \ HYDE ST","25138000","POINT (-122.415882538 37.783515641)","5","Tenderloin","TENDERLOIN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321894",,"PD250062668","2025/02/01 02:59:08 PM","2025/02/01 03:00:10 PM","2025/02/01 03:01:13 PM","2025/02/01 03:01:13 PM","2025/02/01 03:16:18 PM","2025/02/01 03:59:52 PM","519","INJURY VEH ACCIDENT",,"519","INJURY VEH ACCIDENT",,"A","A","Police","REP","N","false","ALABAMA ST \ NORWICH ST","21164000","POINT (-122.410474281 37.745297698)","9","Bernal Heights","INGLESIDE","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321904",,,"2025/02/01 03:02:08 PM","2025/02/01 03:02:08 PM","2025/02/01 03:02:08 PM","2025/02/01 03:02:08 PM","2025/02/01 03:02:08 PM","2025/02/01 05:14:19 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police",,"Y","false","OLIVE ST \ VAN NESS AVE","30708000","POINT (-122.421170987 37.784283291)","5","Tenderloin","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321709",,,"2025/02/01 01:51:31 PM","2025/02/01 01:53:37 PM","2025/02/01 03:05:50 PM","2025/02/01 03:05:50 PM","2025/02/01 03:05:50 PM","2025/02/01 03:08:39 PM","601","TRESPASSER","AGGRESSIVE","601","TRESPASSER","AGGRESSIVE","B","B","Police","GOA","N","false","06TH ST \ MINNA ST","24285000","POINT (-122.408160793 37.780535387)","6","South of Market","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321917",,,"2025/02/01 03:08:09 PM","2025/02/01 03:08:09 PM","2025/02/01 03:08:09 PM","2025/02/01 03:08:09 PM","2025/02/01 03:08:09 PM","2025/02/01 03:08:18 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","ND","Y","false","03RD ST \ QUESADA AVE","20496000","POINT (-122.391244493 37.733223262)","10","Bayview Hunters Point","BAYVIEW","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321921",,,"2025/02/01 03:10:44 PM","2025/02/01 03:10:44 PM","2025/02/01 03:10:44 PM","2025/02/01 03:10:44 PM","2025/02/01 03:10:44 PM","2025/02/01 03:42:28 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","CIT","Y","false","KEITH ST \ THOMAS AVE","20160000","POINT (-122.389418721 37.729353886)","10","Bayview Hunters Point","BAYVIEW","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321927",,,"2025/02/01 03:13:13 PM","2025/02/01 03:13:13 PM","2025/02/01 03:13:13 PM","2025/02/01 03:13:13 PM","2025/02/01 03:13:13 PM","2025/02/01 04:07:20 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","BUCHANAN ST \ POST ST","26522000","POINT (-122.429782592 37.785563847)","5","Japantown","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321924",,,"2025/02/01 03:11:15 PM","2025/02/01 03:12:58 PM","2025/02/01 03:13:24 PM","2025/02/01 03:13:24 PM","2025/02/01 03:17:23 PM","2025/02/01 04:50:29 PM","100P","PANIC ALARM",,"100P","PANIC ALARM",,"A","A","Police","ND","N","false","FREMONT ST \ MISSION ST","24560000","POINT (-122.396689694 37.790461068)","6","Financial District/South Beach","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321604",,,"2025/02/01 01:24:19 PM","2025/02/01 01:24:19 PM","2025/02/01 03:14:04 PM","2025/02/01 03:14:04 PM",,"2025/02/01 03:15:39 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW","DW","C","C","Municipal Transportation Agency","GOA","N","false","GOUGH ST \ WASHINGTON ST","26545000","POINT (-122.426157043 37.792633771)","2","Pacific Heights","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321870",,"PD250062646","2025/02/01 02:48:57 PM","2025/02/01 02:53:10 PM","2025/02/01 03:14:25 PM","2025/02/01 03:14:25 PM","2025/02/01 03:14:25 PM","2025/02/01 04:15:09 PM","518","VEH ACCIDENT","586","518","VEH ACCIDENT","586","B","B","Police","REP","N","false","SUNSET BLVD \ YORBA ST","33563000","POINT (-122.494014877 37.735023414)","4","Sunset/Parkside","TARAVAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321810",,,"2025/02/01 02:31:38 PM","2025/02/01 02:31:38 PM","2025/02/01 03:17:43 PM","2025/02/01 03:17:43 PM","2025/02/01 03:29:05 PM","2025/02/01 03:29:44 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW",,"C","C","Municipal Transportation Agency","NOM","N","false","19TH ST \ LEXINGTON ST","24155000","POINT (-122.420659534 37.760147554)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321903",,,"2025/02/01 02:57:13 PM","2025/02/01 03:02:02 PM","2025/02/01 03:18:35 PM","2025/02/01 03:18:35 PM","2025/02/01 03:42:42 PM","2025/02/01 03:45:08 PM","917","SUSPICIOUS PERSON","SALES","917","SUSPICIOUS PERSON","SALES","B","B","Police","GOA","N","false","GEARY ST \ HYDE ST","25166000","POINT (-122.416449123 37.786310218)","3","Tenderloin","CENTRAL","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321742",,,"2025/02/01 02:02:04 PM","2025/02/01 02:08:02 PM","2025/02/01 03:19:08 PM","2025/02/01 03:19:08 PM","2025/02/01 03:20:33 PM","2025/02/01 04:11:06 PM","240","ASSAULT / BATTERY",,"240","ASSAULT / BATTERY",,"C","C","Police","GOA","N","false","FULTON ST \ GOUGH ST","25940000","POINT (-122.423354025 37.778747372)","5","Hayes Valley","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321946",,,"2025/02/01 03:19:42 PM","2025/02/01 03:19:42 PM","2025/02/01 03:19:42 PM","2025/02/01 03:19:42 PM","2025/02/01 03:19:42 PM","2025/02/01 03:22:14 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","CHURCH ST \ HANCOCK ST","25711000","POINT (-122.428278232 37.760491007)","8","Castro/Upper Market","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321732",,,"2025/02/01 02:04:10 PM","2025/02/01 02:04:55 PM","2025/02/01 03:20:22 PM","2025/02/01 03:20:22 PM","2025/02/01 03:33:41 PM","2025/02/01 03:34:47 PM","913","COMPLAINT UNKN","DROP CALL","913","COMPLAINT UNKN","DROP CALL","B","B","Police","NOM","N","false","15TH ST \ HARRISON ST","24224000","POINT (-122.413259822 37.767069975)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
